prompt,deviation,rgb,hex
faded greenish brown,22.43,130 131 81,#828351
faded greenish gray,17.43,127 147 123,#7f937b
faded greenish yellow,20.36,188 199 59,#bcc73b
faded greeny turquoise,23.03,102 187 147,#66bb93
faded orange,12.33,221 121 30,#dd791e
faded orangy brown,15.1,204 117 43,#cc752b
faded orangy pink,13.31,230 142 118,#e68e76
faded orangy red,22.0,210 77 33,#d24d21
faded orangy yellow,16.81,231 173 20,#e7ad14
faded pink,13.51,226 161 166,#e2a1a6
faded pinkish orange,13.85,231 142 105,#e78e69
faded pinkish purple,16.36,195 130 167,#c382a7
faded pinkish red,16.96,213 102 97,#d56661
faded purple,15.16,142 103 156,#8e679c
faded purplish brown,16.95,130 80 81,#825051
faded purplish gray,14.36,136 117 136,#887588
faded purply blue,17.77,84 95 152,#545f98
faded purply red,22.85,159 42 55,#9f2a37
faded red,25.43,189 45 34,#bd2d22
faded reddish brown,20.34,167 71 38,#a74726
faded reddish gray,23.61,151 89 79,#97594f
faded reddish orange,18.3,211 83 29,#d3531d
faded reddish pink,15.85,214 108 104,#d66c68
faded reddish purple,19.93,148 57 81,#943951
faded turquoise,21.93,114 192 178,#72c0b2
faded yellow,17.16,231 199 35,#e7c723
faded yellowish brown,16.17,215 165 47,#d7a52f
faded yellowish gray,19.28,208 183 91,#d0b75b
faded yellowy green,20.87,190 201 50,#bec932
faded yellowy orange,14.17,231 168 23,#e7a817
fall forest green,27.97,80 116 67,#507443
fall leaf brown,19.23,154 90 38,#9a5a26
fern green,23.69,69 147 69,#459345
fire engine red,32.08,177 34 28,#b1221c
firebrick,31.39,172 74 33,#ac4a21
flake white,22.2,195 196 187,#c3c4bb
flake white pw1,20.21,199 199 189,#c7c7bd
flamingo pink,24.5,208 135 145,#d08791
fluorescent blue,31.31,35 151 198,#2397c6
fluorescent blueish purple,24.7,68 57 178,#4439b2
fluorescent bluey gray,27.68,68 136 166,#4488a6
fluorescent bluey green,30.28,51 209 101,#33d165
fluorescent bluey turquoise,24.59,45 200 201,#2dc8c9
fluorescent brown,25.39,191 102 17,#bf6611
fluorescent brownish gray,32.65,144 112 55,#907037
fluorescent gray,39.82,125 136 98,#7d8862
fluorescent green,26.17,80 233 26,#50e91a
fluorescent greenish blue,32.29,53 204 103,#35cc67
fluorescent greenish brown,36.11,118 168 27,#76a81b
fluorescent greenish gray,29.49,107 187 79,#6bbb4f
fluorescent greenish yellow,27.57,162 236 8,#a2ec08
fluorescent greeny turquoise,25.83,63 229 100,#3fe564
fluorescent orange,20.35,224 110 6,#e06e06
fluorescent orangy brown,17.47,213 101 14,#d5650e
fluorescent orangy gray,28.72,191 106 47,#bf6a2f
fluorescent orangy pink,22.58,227 84 78,#e3544e
fluorescent orangy red,19.98,221 56 14,#dd380e
fluorescent orangy yellow,28.15,234 192 2,#eac002
fluorescent pink,23.17,218 70 131,#da4683
fluorescent pinkish orange,19.82,227 92 68,#e35c44
fluorescent pinkish purple,25.23,194 51 155,#c2339b
fluorescent pinkish red,21.74,213 39 78,#d5274e
fluorescent purple,29.34,141 44 151,#8d2c97
fluorescent purplish brown,31.75,144 51 81,#903351
fluorescent purplish gray,19.82,120 84 143,#78548f
fluorescent purply blue,49.7,50 94 175,#325eaf
fluorescent purply red,29.19,188 31 59,#bc1f3b
fluorescent red,22.42,202 20 16,#ca1410
fluorescent reddish brown,31.07,189 52 15,#bd340f
fluorescent reddish gray,40.12,164 63 58,#a43f3a
fluorescent reddish orange,23.84,219 64 9,#db4009
fluorescent reddish pink,22.48,212 42 83,#d42a53
fluorescent turquoise,30.9,65 211 170,#41d3aa
fluorescent yellow,17.36,225 233 6,#e1e906
fluorescent yellowish brown,32.3,221 179 7,#ddb307
fluorescent yellowish gray,31.42,199 201 32,#c7c920
fluorescent yellowy green,23.87,167 236 7,#a7ec07
fluorescent yellowy orange,30.51,231 182 3,#e7b603
fluro orange,16.67,224 112 12,#e0700c
forestgreen,25.32,58 123 69,#3a7b45
french lilac,17.0,179 156 187,#b39cbb
french vermilion,27.4,192 51 25,#c03319
french vermilion sub pr4 py1,33.61,185 53 21,#b93515
fresh black,15.53,32 32 29,#20201d
fresh blue,26.64,92 163 192,#5ca3c0
fresh blueish purple,19.51,110 103 169,#6e67a9
fresh bluey gray,19.71,131 158 168,#839ea8
fresh bluey green,30.22,86 184 139,#56b88b
fresh bluey turquoise,23.22,94 197 195,#5ec5c3
fresh brown,19.94,163 107 58,#a36b3a
fresh brownish gray,19.37,137 116 93,#89745d
fresh gray,20.79,145 146 141,#91928d
fresh green,28.78,96 192 68,#60c044
fresh greenish blue,30.0,98 188 149,#62bc95
fresh greenish brown,25.54,132 140 66,#848c42
fresh greenish gray,20.33,132 160 128,#84a080
fresh greenish yellow,21.17,195 217 29,#c3d91d
fresh greeny turquoise,25.87,99 206 151,#63ce97
fresh magenta,29.04,181 58 107,#b53a6b
fresh orange,17.74,219 124 18,#db7c12
fresh orangy brown,18.13,208 115 32,#d07320
fresh orangy gray,20.15,194 132 84,#c28454
fresh orangy pink,16.9,224 134 108,#e0866c
fresh orangy red,25.53,211 75 24,#d34b18
fresh orangy yellow,20.25,236 185 8,#ecb908
fresh pink,18.34,218 149 159,#da959f
fresh pinkish orange,16.86,231 135 93,#e7875d
fresh pinkish purple,23.02,194 117 162,#c275a2
fresh pinkish red,20.74,210 88 87,#d25857
fresh purple,18.23,138 96 155,#8a609b
fresh purplish brown,20.49,132 76 81,#844c51
fresh purplish gray,16.11,136 117 142,#88758e
fresh purply blue,31.1,72 109 160,#486da0
fresh purply red,29.87,169 34 43,#a9222b
fresh red,33.36,191 42 29,#bf2a1d
fresh reddish brown,26.59,171 70 34,#ab4622
fresh reddish gray,26.84,158 84 74,#9e544a
fresh reddish orange,21.83,216 83 20,#d85314
fresh reddish pink,21.05,210 93 94,#d25d5e
fresh reddish purple,28.26,149 44 75,#952c4b
fresh turquoise,21.83,107 202 185,#6bcab9
fresh yellow,20.4,234 206 15,#eace0f
fresh yellowish brown,17.51,221 171 34,#ddab22
fresh yellowish gray,21.48,213 192 82,#d5c052
fresh yellowy green,23.82,192 216 22,#c0d816
fresh yellowy orange,15.66,236 177 11,#ecb10b
frog green,35.28,89 164 56,#59a438
fuchsia,29.9,189 51 110,#bd336e
fuchsia pink,20.51,210 61 125,#d23d7d
fuchsin,35.42,184 77 102,#b84d66
gainsboro,27.88,172 150 104,#ac9668
garnet red,28.41,136 25 23,#881917
ghost white,20.0,194 199 192,#c2c7c0
ghostwhite,22.74,184 188 180,#b8bcb4
ginger brown,21.33,176 106 47,#b06a2f
ginger red,29.86,196 67 27,#c4431b
glacial blue ice,18.36,118 178 205,#76b2cd
gold,21.56,192 143 35,#c08f23
gold pink,19.66,217 150 114,#d99672
golden blonde,23.4,204 161 64,#cca140
golden brown,17.51,196 130 36,#c48224
golden silk,16.96,203 149 39,#cb9527
golden yellow,17.87,233 194 15,#e9c20f
goldenrod,19.3,215 174 27,#d7ae1b
granite,31.27,150 130 100,#968264
grapefruit,24.38,213 133 51,#d58533
grass green,21.46,92 179 69,#5cb345
gray,19.56,134 136 131,#868883
gray brown,19.23,123 107 89,#7b6b59
gray dolphin,21.27,128 137 136,#808988
gray goose,16.96,156 156 147,#9c9c93
gray green,18.37,104 132 107,#68846b
gray wolf,14.69,113 116 112,#717470
grayish turquoise,19.61,125 168 159,#7da89f
green,27.03,61 165 61,#3da53d
green apple,28.76,122 185 52,#7ab934
green earth,28.76,76 148 59,#4c943b
green earth pg23,33.94,91 148 71,#5b9447
green onion,29.74,97 166 63,#61a63f
green pepper,30.59,69 150 28,#45961c
green thumb,27.9,80 161 67,#50a143
greenish blue,26.29,78 162 139,#4ea28b
greenyellow,29.02,170 200 18,#aac812
grey,18.07,129 131 127,#81837f
gris,20.39,132 130 118,#848276
grise,20.37,145 139 124,#918b7c
gulf blue,21.47,104 163 183,#68a3b7
gunmetal,18.64,76 79 77,#4c4f4d
gunmetal gray,19.51,87 89 88,#575958
half white,19.2,196 197 188,#c4c5bc
halloween orange,16.0,206 98 10,#ce620a
harvest gold,16.05,212 157 39,#d49d27
hazel,29.23,164 125 86,#a47d56
hazel green,24.47,89 131 75,#59834b
heavenly blue,20.95,76 149 186,#4c95ba
helios red,28.54,184 36 22,#b82416
helios red pr3,30.57,174 41 27,#ae291b
heliotrope purple,19.16,115 74 126,#734a7e
hint of pink,22.52,215 146 151,#d79297
honeydew,37.24,166 175 67,#a6af43
hot deep pink,21.57,201 51 94,#c9335e
hot pink,19.85,216 86 122,#d8567a
hotpink,21.74,210 87 113,#d25771
hummingbird green,27.36,97 164 81,#61a451
hunter green,19.99,62 126 67,#3e7e43
iguana green,35.32,69 158 58,#459e3a
indian red,24.9,184 40 21,#b82815
indian saffron,23.91,208 148 15,#d0940f
indian yellow,18.11,229 189 10,#e5bd0a
indian yellow sub py1 py83,19.46,223 189 14,#dfbd0e
indianred,26.55,180 47 28,#b42f1c
indigo,26.45,40 80 128,#285080
indigo blue,26.25,28 82 138,#1c528a
indigo blue pb60,28.72,49 96 143,#31608f
iridescent,31.21,148 119 111,#94776f
irish green,25.76,45 143 59,#2d8f3b
iron gray,17.79,92 95 92,#5c5f5c
isle of man green,26.91,78 149 77,#4e954d
ivory,14.67,213 203 174,#d5cbae
ivory black,27.68,154 146 126,#9a927e
ivory black pbk9,24.02,157 151 133,#9d9785
jade,24.82,50 150 92,#32965c
jade green,21.63,44 163 82,#2ca352
jasmine purple,19.01,145 109 154,#916d9a
jaune,17.03,231 197 9,#e7c509
jeans blue,23.17,70 115 147,#467393
jet gray,20.38,103 105 103,#676967
jungle green,26.23,60 146 60,#3c923c
kelly green,18.98,54 177 65,#36b141
khaki,23.5,140 131 89,#8c8359
khaki brown,20.51,145 115 77,#91734d
khaki green,21.85,112 133 78,#70854e
khaki rose,17.96,178 153 126,#b2997e
lapis blue,32.83,31 88 150,#1f5896
lava red,25.34,175 35 19,#af2313
lavender,13.55,179 152 191,#b398bf
lavender blue,17.25,158 157 200,#9e9dc8
lavender blush,14.17,209 174 183,#d1aeb7
lavender purple,15.01,173 143 191,#ad8fbf
lavenderblush,15.52,199 170 193,#c7aac1
lawngreen,23.18,93 160 75,#5da04b
lemon chiffon,11.37,233 214 66,#e9d642
lemon green,23.66,178 217 39,#b2d927
lemon yellow,14.6,233 212 17,#e9d411
lemon yellow py3,16.2,233 210 33,#e9d221
lemonchiffon,14.42,228 209 69,#e4d145
lemony white,14.97,230 221 141,#e6dd8d
light aquamarine,21.48,135 205 196,#87cdc4
light beige,11.62,218 195 156,#dac39c
light black,16.07,35 34 30,#23221e
light blue,22.28,129 185 206,#81b9ce
light blueish purple,18.99,144 142 197,#908ec5
light bluey gray,17.47,147 172 180,#93acb4
light bluey green,24.8,120 204 167,#78cca7
light bluey turquoise,21.03,119 208 203,#77d0cb
light brown,17.05,184 133 83,#b88553
light brownish gray,18.5,163 143 118,#a38f76
light copper,20.59,172 106 64,#ac6a40
light cyan,28.99,99 182 173,#63b6ad
light day blue,23.56,107 169 197,#6ba9c5
light french beige,9.85,217 197 162,#d9c5a2
light gold,20.25,207 161 66,#cfa142
light goldenrod,16.3,228 185 38,#e4b926
light gray,20.18,167 168 162,#a7a8a2
light green,27.26,121 211 111,#79d36f
light greenish blue,22.94,133 202 172,#85caac
light greenish brown,21.38,153 158 96,#999e60
light greenish gray,18.31,152 175 148,#98af94
light greenish yellow,22.26,195 224 62,#c3e03e
light greeny turquoise,24.07,127 219 169,#7fdba9
light jade,24.67,109 187 134,#6dbb86
light mint green,15.73,164 224 178,#a4e0b2
light olive green,17.5,133 157 73,#859d49
light orange,14.79,226 130 36,#e28224
light orangy brown,16.46,208 124 52,#d07c34
light orangy gray,22.34,189 145 110,#bd916e
light orangy pink,17.62,228 146 123,#e4927b
light orangy red,22.69,215 77 28,#d74d1c
light orangy yellow,17.31,236 186 22,#ecba16
light pink,16.1,224 167 168,#e0a7a8
light pinkish orange,15.03,230 149 113,#e69571
light pinkish purple,22.42,209 147 186,#d193ba
light pinkish red,22.34,219 110 104,#db6e68
light purple,22.25,178 141 194,#b28dc2
light purple blue,25.25,131 124 190,#837cbe
light purplish brown,17.27,157 107 102,#9d6b66
light purplish gray,16.14,156 139 161,#9c8ba1
light purply blue,28.4,94 135 184,#5e87b8
light purply red,27.95,178 35 46,#b2232e
light red,28.87,189 34 26,#bd221a
light reddish brown,21.66,185 91 49,#b95b31
light reddish gray,25.5,165 109 96,#a56d60
light reddish orange,21.43,216 89 32,#d85920
light reddish pink,23.18,218 118 112,#da7670
light reddish purple,22.27,171 71 98,#ab4762
light rose,24.08,205 146 140,#cd928c
light rose green,29.3,157 186 136,#9dba88
light salmon,27.36,199 136 105,#c78869
light salmon rose,21.23,216 152 131,#d89883
light sky blue,20.1,158 199 213,#9ec7d5
light slate,26.82,122 130 121,#7a8279
light slate blue,19.74,123 154 166,#7b9aa6
light steel blue,27.35,98 147 170,#6293aa
light steel gray,19.31,137 139 136,#898b88
light teal,23.99,110 184 164,#6eb8a4
light turquoise,21.09,138 215 197,#8ad7c5
light white,19.91,206 206 195,#cecec3
light yellow,14.13,236 213 43,#ecd52b
light yellowish brown,15.55,224 176 63,#e0b03f
light yellowish gray,19.71,213 194 117,#d5c275
light yellowy green,21.22,195 225 52,#c3e134
light yellowy orange,14.15,236 177 25,#ecb119
lightblue,23.49,124 179 200,#7cb3c8
lightcoral,37.38,171 128 103,#ab8067
lightcyan,32.3,101 174 176,#65aeb0
lightest yellow,14.42,238 210 31,#eed21f
lightgoldenrodyellow,22.72,222 160 14,#dea00e
lightgray,19.98,158 159 152,#9e9f98
lightgreen,28.09,91 199 91,#5bc75b
lightgrey,18.99,164 166 157,#a4a69d
lightpink,23.37,216 157 160,#d89da0
lightsalmon,30.92,191 131 104,#bf8368
lightseagreen,25.49,111 196 134,#6fc486
lightskyblue,20.8,160 198 208,#a0c6d0
lightslategray,19.38,135 141 135,#878d87
lightslategrey,16.76,135 140 135,#878c87
lightsteelblue,24.63,94 140 165,#5e8ca5
lightyellow,16.67,232 206 39,#e8ce27
lilac,16.62,173 143 182,#ad8fb6
lime,24.11,164 209 42,#a4d12a
lime mint green,24.5,143 232 97,#8fe861
limegreen,21.98,132 225 41,#84e129
linen,24.02,190 174 134,#beae86
lipstick pink,25.47,197 112 124,#c5707c
lithopone white,18.29,205 203 190,#cdcbbe
lithopone white pw5,15.29,207 207 196,#cfcfc4
lotus green,28.08,74 170 72,#4aaa48
love red,28.47,179 34 28,#b3221c
lovely purple,15.86,141 99 151,#8d6397
macaw blue green,37.36,62 140 103,#3e8c67
magenta,29.37,176 49 107,#b0316b
magenta pink,21.54,208 69 126,#d0457e
magic mint,24.0,124 179 154,#7cb39a
mango orange,18.18,218 129 15,#da810f
marble blue,23.91,95 148 178,#5f94b2
marly white,16.43,205 204 192,#cdccc0
marly white pw18,16.27,204 201 188,#ccc9bc
maroon,22.61,113 35 38,#712326
maroon red,22.87,124 25 27,#7c191b
mars black,16.93,39 33 28,#27211c
mars black pbk11,22.21,49 43 36,#312b24
mars red,30.46,171 34 21,#ab2215
mars red pr101,32.71,169 43 27,#a92b1b
mars yellow,23.28,219 178 10,#dbb20a
mars yellow py1 pbr7,23.77,221 181 19,#ddb513
mauve,16.32,151 102 114,#976672
mauve taupe,17.86,160 126 114,#a07e72
medium forest green,23.65,50 112 67,#327043
medium purple,17.55,116 82 133,#745285
medium slate blue,22.33,74 102 117,#4a6675
medium teal,26.26,71 144 131,#479083
mediumaquamarine,39.28,105 161 149,#69a195
mediumblue,27.91,83 138 164,#538aa4
mediumorchid,36.66,163 129 107,#a3816b
mediumpurple,19.2,117 81 132,#755184
mediumseagreen,27.9,80 160 109,#50a06d
mediumslateblue,21.28,88 120 132,#587884
mediumspringgreen,27.05,113 177 89,#71b159
mediumturquoise,31.15,90 174 161,#5aaea1
metallic bronze,19.31,149 101 55,#956537
metallic gold,22.72,182 141 54,#b68d36
metallic green,24.02,48 133 60,#30853c
metallic silver,19.7,154 153 149,#9a9995
midday blue,20.29,108 158 182,#6c9eb6
midnight,29.89,49 51 51,#313333
midnight green,22.39,22 84 52,#165434
midnight purple,18.62,66 39 89,#422759
midnightblue,23.83,29 66 102,#1d4266
military green,25.15,67 103 56,#436738
milk chocolate,18.98,116 76 51,#744c33
milk white,13.19,212 212 202,#d4d4ca
millennium jade,27.84,50 134 85,#328655
mineral violet,20.53,123 88 144,#7b5890
mineral violet pv16,22.52,130 98 138,#82628a
mint,20.0,139 190 168,#8bbea8
mint green,15.17,140 209 164,#8cd1a4
mintcream,16.34,167 205 179,#a7cdb3
mist blue,20.55,115 164 184,#73a4b8
misty rose,19.15,199 154 149,#c79a95
mistyrose,22.29,192 143 138,#c08f8a
mocha,18.65,133 96 67,#856043
moss green,20.47,78 132 59,#4e843b
murky green,27.07,45 105 55,#2d6937
mustard,15.62,219 173 18,#dbad12
mustard yellow,15.66,232 191 15,#e8bf0f
muted black,10.81,31 31 29,#1f1f1d
muted blue,20.3,104 147 166,#6893a6
muted blueish purple,16.3,117 111 159,#756f9f
muted bluey brown,24.64,128 120 101,#807865
muted bluey gray,17.43,128 146 152,#809298
muted bluey green,19.73,107 161 139,#6ba18b
muted bluey turquoise,22.2,112 183 178,#70b7b2
muted brown,17.36,149 102 66,#956642
muted brownish gray,18.06,134 117 96,#867560
muted gray,17.04,143 142 134,#8f8e86
muted green,18.82,105 152 98,#699862
muted greenish blue,19.35,116 163 144,#74a390
muted greenish brown,23.22,127 124 79,#7f7c4f
muted greenish gray,18.0,129 145 124,#81917c
muted greenish yellow,20.26,186 194 64,#bac240
muted greeny turquoise,21.06,111 179 142,#6fb38e
muted orange,13.21,220 121 42,#dc792a
muted orangy brown,15.89,195 115 56,#c37338
muted orangy pink,14.07,225 148 120,#e19478
muted orangy red,18.23,208 82 41,#d05229
muted orangy yellow,14.98,231 172 29,#e7ac1d
muted pink,14.03,220 163 160,#dca3a0
muted pinkish orange,12.96,226 143 109,#e28f6d
muted pinkish purple,17.98,185 131 159,#b9839f
muted pinkish red,17.69,205 102 95,#cd665f
muted purple,15.9,147 115 155,#93739b
muted purplish brown,15.88,138 92 90,#8a5c5a
muted purplish gray,13.86,140 123 137,#8c7b89
muted purply blue,22.57,97 115 149,#617395
muted purply red,21.54,153 47 54,#992f36
muted red,23.45,176 46 34,#b02e22
muted reddish brown,19.26,154 76 45,#9a4c2d
muted reddish gray,23.19,144 97 86,#906156
muted reddish orange,17.85,207 85 39,#cf5527
muted reddish pink,17.48,207 114 105,#cf7269
muted reddish purple,19.12,137 67 82,#894352
muted turquoise,21.28,125 188 170,#7dbcaa
muted yellow,15.51,231 197 43,#e7c52b
muted yellowish brown,17.97,209 161 52,#d1a134
muted yellowish gray,18.83,204 182 99,#ccb663
muted yellowy green,19.86,185 192 55,#b9c037
muted yellowy orange,14.83,229 165 34,#e5a522
muted yellowy turquoise,19.94,201 207 107,#c9cf6b
naples yellow,12.67,232 198 24,#e8c618
naples yellow sub py1,18.89,222 195 21,#dec315
nardo gray,20.51,109 110 105,#6d6e69
navajo white,14.23,209 204 188,#d1ccbc
navajowhite,23.39,196 186 166,#c4baa6
navy,28.94,60 75 91,#3c4b5b
nebula green,24.22,40 135 63,#28873f
neon blue,34.27,37 144 185,#2590b9
neon gold,37.52,196 153 18,#c49912
neon green,27.73,78 219 33,#4edb21
neon hot pink,21.96,213 54 115,#d53673
neon orange,19.76,220 101 10,#dc650a
neon pink,21.24,212 69 123,#d4457b
neon purple,23.98,124 45 136,#7c2d88
neon red,33.13,189 29 26,#bd1d1a
neon yellow,16.38,222 229 7,#dee507
neon yellow green,28.68,153 233 7,#99e907
new midnight blue,22.54,35 66 95,#23425f
nickel yellow,19.12,221 186 10,#ddba0a
nickel yellow py53,18.9,221 188 24,#ddbc18
night blue,21.31,20 67 111,#14436f
noir,28.87,55 48 38,#373026
noire,23.73,50 50 45,#32322d
northern lights blue,18.35,27 131 167,#1b83a7
oak brown,24.12,141 101 64,#8d6540
ocean blue,23.03,68 148 180,#4494b4
ocean green,23.54,63 162 113,#3fa271
off white,11.69,212 211 199,#d4d3c7
old burgundy,23.5,116 51 48,#743330
old rose,24.47,183 126 113,#b77e71
olive,26.43,130 128 63,#82803f
olive drab,23.34,108 113 64,#6c7140
olive green,23.1,99 127 55,#637f37
olivedrab,25.3,121 121 63,#79793f
orange,15.62,221 113 15,#dd710f
orange gold,17.28,221 133 13,#dd850d
orange red,19.06,215 81 12,#d7510c
orange salmon,21.63,213 115 53,#d57335
orange yellow,15.99,233 159 6,#e99f06
orangered,20.9,212 84 17,#d45411
orchid purple,18.76,141 84 141,#8d548d
organic brown,18.22,148 101 62,#94653e
pale blue,16.55,161 202 211,#a1cad3
pale blue lily,23.22,152 185 191,#98b9bf
pale blueish purple,15.43,168 162 203,#a8a2cb
pale bluey brown,19.86,173 172 150,#adac96
pale bluey gray,14.71,165 185 189,#a5b9bd
pale bluey green,18.03,153 208 178,#99d0b2
pale bluey turquoise,16.48,146 213 204,#92d5cc
pale brown,16.78,195 153 109,#c3996d
pale brownish gray,16.16,176 159 136,#b09f88
pale gray,13.7,185 186 179,#b9bab3
pale green,16.49,162 212 152,#a2d498
pale greenish blue,15.04,161 208 185,#a1d0b9
pale greenish brown,16.77,167 172 117,#a7ac75
pale greenish gray,15.27,167 186 161,#a7baa1
pale greenish yellow,14.85,205 221 98,#cddd62
pale greeny turquoise,16.11,151 216 177,#97d8b1
pale lavender,11.23,202 180 208,#cab4d0
pale lilac,13.99,195 174 197,#c3aec5
pale magenta,14.9,214 148 162,#d694a2
pale orange,12.21,235 157 80,#eb9d50
pale orangy brown,15.22,215 148 87,#d79457
pale orangy gray,16.3,207 176 145,#cfb091
pale orangy pink,12.51,233 171 148,#e9ab94
pale orangy red,16.14,224 111 70,#e06f46
pale orangy yellow,12.96,240 198 62,#f0c63e
pale pink,13.37,229 183 178,#e5b7b2
pale pinkish orange,12.61,235 167 132,#eba784
pale pinkish purple,14.38,212 167 193,#d4a7c1
pale pinkish red,16.06,225 140 130,#e18c82
pale primrose,20.65,213 191 146,#d5bf92
pale purple,11.44,192 166 201,#c0a6c9
pale purplish brown,15.22,177 132 124,#b1847c
pale purplish gray,13.7,174 158 175,#ae9eaf
pale purply blue,22.21,140 170 197,#8caac5
pale purply red,24.55,192 79 80,#c04f50
pale red,22.43,211 89 71,#d35947
pale reddish brown,18.99,198 121 82,#c67952
pale reddish gray,18.28,190 152 136,#be9888
pale reddish orange,16.18,229 125 75,#e57d4b
pale reddish pink,13.48,227 156 143,#e39c8f
pale reddish purple,18.71,192 131 151,#c08397
pale silver,17.71,170 171 164,#aaaba4
pale turquoise,18.03,156 211 194,#9cd3c2
pale violet red,19.51,196 88 97,#c45861
pale yellow,11.79,238 218 89,#eeda59
pale yellowish brown,13.76,226 186 90,#e2ba5a
pale yellowish gray,15.56,220 207 141,#dccf8d
pale yellowy green,16.31,204 224 94,#cce05e
pale yellowy orange,12.32,240 188 62,#f0bc3e
pale yellowy turquoise,19.72,210 225 140,#d2e18c
palegoldenrod,19.79,210 120 49,#d27831
palegreen,20.06,124 181 120,#7cb578
palest lavender,10.75,195 172 203,#c3accb
palest pink,14.13,227 165 169,#e3a5a9
paleturquoise,21.44,139 195 179,#8bc3b3
papaya orange,19.31,214 110 19,#d66e13
papayawhip,27.72,204 127 54,#cc7f36
parchment,28.19,184 153 84,#b89954
parrot green,37.26,70 164 50,#46a432
pastel blue,13.43,162 207 217,#a2cfd9
pastel brown,13.25,199 150 107,#c7966b
pastel green,16.07,157 223 150,#9ddf96
pastel indigo,14.36,126 171 195,#7eabc3
pastel light blue,13.25,177 215 220,#b1d7dc
pastel orange,14.25,233 151 80,#e99750
pastel pink,14.15,230 179 179,#e6b3b3
pastel purple,14.66,195 163 200,#c3a3c8
pastel red,18.04,217 103 89,#d96759
pastel rose,18.4,213 169 165,#d5a9a5
pastel violet,15.06,191 157 197,#bf9dc5
pastel yellow,10.82,238 219 78,#eedb4e
pb72,28.34,171 139 84,#ab8b54
pea green,22.11,74 168 70,#4aa846
peach,17.4,221 157 119,#dd9d77
peach pink,13.8,229 170 147,#e5aa93
peach puff,21.01,215 161 130,#d7a182
peachpuff,20.08,215 163 132,#d7a384
pearl,24.74,180 167 143,#b4a78f
pearl white,15.29,207 207 196,#cfcfc4
periwinkle,26.96,148 171 186,#94abba
periwinkle pink,17.68,210 163 177,#d2a3b1
periwinkle purple,16.58,151 124 177,#977cb1
permanent red deep,24.35,161 28 21,#a11c15
permanent red deep pr3 pr482,37.98,194 21 11,#c2150b
petra gold,20.73,198 149 48,#c69530
phosphorescent,67.41,115 127 63,#737f3f
phtalocyanine green,25.86,42 157 72,#2a9d48
phtalocyanine green pg7,28.73,58 165 78,#3aa54e
phthalocyanine blue,29.47,36 121 172,#2479ac
phthalocyanine blue pb15,30.34,41 124 172,#297cac
pig pink,21.3,209 149 153,#d19599
pine green,24.03,75 136 81,#4b8851
pink,19.84,221 146 160,#dd92a0
pink brown,17.51,195 125 108,#c37d6c
pink bubble gum,24.64,216 140 160,#d88ca0
pink coral,17.62,218 133 123,#da857b
pink lemonade,20.7,222 159 142,#de9f8e
pink orange,18.88,227 122 75,#e37a4b
pink plum,28.34,194 111 130,#c26f82
pink rose,25.24,199 134 140,#c7868c
pink violet,25.56,201 103 157,#c9679d
pinky magenta,20.02,208 80 128,#d05080
pistachio green,21.88,121 189 92,#79bd5c
platinum,23.8,150 145 134,#969186
platinum gray,20.46,139 139 134,#8b8b86
platinum silver,21.03,156 156 152,#9c9c98
plum,24.45,119 71 89,#774759
plum pie,27.15,134 77 81,#864d51
plum purple,16.96,105 62 111,#693e6f
plum velvet,19.27,94 44 68,#5e2c44
powder pink,14.01,220 158 161,#dc9ea1
powderblue,21.23,90 153 182,#5a99b6
primary blue,28.43,59 135 178,#3b87b2
primary blue pb15,30.46,80 142 176,#508eb0
primary red,25.68,190 32 20,#be2014
primary red pv19,25.87,183 36 27,#b7241b
primary yellow,18.07,237 207 12,#edcf0c
primary yellow py1 py3,18.61,231 203 19,#e7cb13
prussian blue,31.73,44 95 143,#2c5f8f
prussian blue pb27,31.05,53 100 144,#356490
pullman brown,24.85,128 91 58,#805b3a
pumpkin orange,19.23,209 113 14,#d1710e
pumpkin pie,20.31,207 131 30,#cf831e
pure blue,26.41,55 144 189,#3790bd
purple,15.99,124 80 145,#7c5091
purple amethyst,17.97,106 64 124,#6a407c
purple flower,25.94,142 102 145,#8e6691
purple haze,16.46,131 82 144,#835290
purple iris,18.97,123 92 143,#7b5c8f
purple jam,19.24,117 70 125,#75467d
purple lily,22.25,139 100 146,#8b6492
purple maroon,24.08,94 34 64,#5e2240
purple navy,19.04,73 56 100,#493864
purple pink,20.66,180 95 150,#b45f96
purple plum,18.48,107 62 112,#6b3e70
purple violet,17.46,114 68 140,#72448c
purple white,23.65,169 144 180,#a990b4
quinacridone red,30.74,181 39 25,#b52719
quinacridone red pr122,31.63,182 42 28,#b62a1c
racing green,21.68,41 140 60,#298c3c
raspberry,34.25,176 80 94,#b0505e
raspberry purple,20.08,141 58 108,#8d3a6c
raw sienna,14.0,191 116 42,#bf742a
raw sienna pbr7,20.3,176 113 53,#b07135
raw umber,17.43,167 103 43,#a7672b
raw umber pbr7,21.68,158 100 45,#9e642d
rebeccapurple,17.48,135 97 137,#876189
red,22.76,187 26 19,#bb1a13
red blood,24.84,158 23 20,#9e1714
red brown,23.58,164 57 30,#a4391e
red brown pr101 pbr7,28.29,154 68 38,#9a4426
red dirt,22.69,171 50 32,#ab3220
red gold,25.65,187 48 14,#bb300e
red magenta,25.2,179 31 48,#b31f30
red ochre,19.23,203 77 20,#cb4d14
